task id resource request_start request_end request_duration start end time downloaded executed uploaded type
mDiffFit 21 512 3486 5324 1838 4313 5904 1591 1023 277 291 512
mDiffFit 13 512 3297 5356 2059 3980 5926 1946 1355 260 331 512
mDiffFit 14 512 3443 5372 1929 4167 5982 1815 1406 163 246 512
mDiffFit 19 512 3680 5427 1747 4433 5982 1549 960 300 289 512
mDiffFit 16 512 3685 5542 1857 4438 6120 1682 936 344 402 512
mDiffFit 25 512 3922 5551 1629 4588 6024 1436 939 245 252 512
mDiffFit 26 512 3480 5664 2184 4174 6276 2102 1484 265 353 512
mDiffFit 27 512 3917 5685 1768 4710 6264 1554 1099 163 292 512
mDiffFit 24 512 3922 5753 1831 4561 6324 1763 1101 379 283 512
mDiffFit 12 512 3277 6237 2960 3958 6809 2851 2292 248 311 512
mConcatFit 28 512 6249 7268 1019 6884 7836 952 328 499 125 512
mBgModel 29 512 7274 14103 6829 7909 14671 6762 130 6495 137 512
mBackground 33 512 14119 15243 1124 14775 15813 1038 396 144 498 512
mBackground 37 512 14128 15308 1180 14863 15921 1058 408 146 504 512
mBackground 39 512 14131 15356 1225 14821 15921 1100 435 159 506 512
mBackground 31 512 14119 15446 1327 14857 16057 1200 442 221 537 512
mBackground 32 512 14119 15516 1397 14780 16089 1309 420 161 728 512
mBackground 30 512 14118 15610 1492 14872 16189 1317 577 200 540 512
mBackground 34 512 14120 15624 1504 14788 16097 1309 500 261 548 512
mBackground 36 512 14120 15654 1534 14875 16234 1359 561 261 537 512
mBackground 38 512 14130 15670 1540 14859 16249 1390 554 200 636 512
mBackground 35 512 14120 15713 1593 14893 16278 1385 502 298 585 512
mImgtbl 40 512 15720 18435 2715 16412 18915 2503 2182 138 183 512
mAdd 41 512 18449 24071 5622 19086 23953 4867 3706 563 598 512
mShrink 42 512 24077 25446 1369 24753 26011 1258 499 282 477 512
mJPEG 43 512 25451 27174 1723 26082 27570 1488 451 823 214 512
mProjectPP 9 512 37 4423 4386 777 3606 2829 246 2124 459 512
mProjectPP 1 512 0 4424 4424 723 3631 2908 297 2104 507 512
mProjectPP 8 512 8 4425 4417 781 3656 2875 298 2100 477 512
mProjectPP 2 512 6 4427 4421 775 3714 2939 303 2122 514 512
mProjectPP 5 512 7 4427 4420 769 3717 2948 333 2107 508 512
mProjectPP 10 512 38 4429 4391 697 3658 2961 321 2038 602 512
mProjectPP 3 512 6 4429 4423 785 3765 2980 317 2120 543 512
mProjectPP 6 512 8 4430 4422 817 3900 3083 311 2142 630 512
mProjectPP 4 512 7 4430 4423 741 3891 3150 301 2145 704 512
mProjectPP 7 512 8 4431 4423 821 3959 3138 316 2105 717 512
mDiffFit 22 512 4472 6604 2132 6006 7170 1164 776 165 223 512
mDiffFit 23 512 4475 6689 2214 6015 7258 1243 769 183 291 512
mDiffFit 15 512 4453 6736 2283 6018 7303 1285 747 183 355 512
mDiffFit 25 512 4457 6737 2280 6051 7309 1258 839 179 240 512
mDiffFit 26 512 4457 6953 2496 6013 7523 1510 847 360 303 512
mDiffFit 21 512 4456 6979 2523 6034 7537 1503 855 341 307 512
mDiffFit 18 512 4455 7024 2569 5908 7497 1589 1030 262 297 512
mDiffFit 27 512 4454 7051 2597 6014 7628 1614 1129 182 303 512
mDiffFit 19 512 4456 7102 2646 6152 7661 1509 960 261 288 512
mDiffFit 14 512 4455 7134 2679 6019 7714 1695 1198 243 254 512
mDiffFit 13 512 4454 7150 2696 6012 7729 1717 988 344 385 512
mDiffFit 20 512 4470 7259 2789 6130 7829 1699 1100 264 335 512
mDiffFit 12 512 4455 7323 2868 6047 7935 1888 1440 164 284 512
mDiffFit 24 512 4456 7631 3175 6012 8181 2169 1599 278 292 512
mDiffFit 16 512 4457 8031 3574 6145 8601 2456 1860 262 334 512
mDiffFit 17 512 4454 8099 3645 6082 8665 2583 2178 162 243 512
