task id resource request_start request_end request_duration start end time downloaded executed uploaded type
createDat.js 4 256 1100 2400 1300 1302 2353 1051 130 732 189 sdbws
createDat.js 2 256 1098 2638 1540 1443 2566 1123 152 808 163 sdbws
ellipsoids-openmp 103 1024 2181 6920 4739 2690 6877 4187 105 3916 166 sdbws
ellipsoids-openmp 85 1024 2213 7418 5205 2750 7256 4506 114 4214 178 sdbws
ellipsoids-openmp 182 1024 2263 7527 5264 2843 7478 4635 144 4264 227 sdbws
ellipsoids-openmp 155 1024 2470 7674 5204 2937 7614 4677 118 4353 206 sdbws
ellipsoids-openmp 47 1024 2683 8153 5470 3187 7919 4732 109 4399 224 sdbws
ellipsoids-openmp 100 512 2180 10915 8735 2438 10746 8308 123 7960 225 sdbws
ellipsoids-openmp 70 512 2189 10917 8728 2464 10762 8298 147 7843 308 sdbws
ellipsoids-openmp 64 512 2185 10962 8777 2482 10919 8437 117 8102 218 sdbws
ellipsoids-openmp 104 512 2182 11026 8844 2682 10980 8298 130 7957 211 sdbws
ellipsoids-openmp 57 512 2183 11057 8874 2466 11018 8552 129 8150 273 sdbws
ellipsoids-openmp 101 512 2181 11058 8877 2679 11006 8327 121 7975 231 sdbws
ellipsoids-openmp 59 512 2184 11075 8891 2695 11021 8326 115 8005 206 sdbws
ellipsoids-openmp 180 512 2262 11137 8875 2853 11098 8245 145 7868 232 sdbws
ellipsoids-openmp 56 512 2183 11180 8997 2696 11141 8445 115 8093 237 sdbws
ellipsoids-openmp 179 512 2262 11316 9054 2853 11261 8408 115 8053 240 sdbws
ellipsoids-openmp 65 512 2185 11325 9140 2704 11274 8570 111 8208 251 sdbws
ellipsoids-openmp 91 512 2224 11331 9107 2787 11314 8527 123 8157 247 sdbws
ellipsoids-openmp 197 512 2267 11336 9069 2866 11299 8433 133 8011 289 sdbws
ellipsoids-openmp 178 512 2262 11353 9091 2868 11330 8462 141 8098 223 sdbws
ellipsoids-openmp 187 512 2264 11370 9106 2856 11325 8469 138 8070 261 sdbws
ellipsoids-openmp 165 512 2258 11384 9126 2826 11330 8504 145 8128 231 sdbws
ellipsoids-openmp 98 512 2225 11389 9164 2765 11348 8583 114 8258 211 sdbws
ellipsoids-openmp 173 512 2260 11396 9136 2839 11344 8505 188 8058 259 sdbws
ellipsoids-openmp 169 512 2259 11412 9153 2837 11366 8529 116 8201 212 sdbws
ellipsoids-openmp 99 512 2232 11427 9195 2825 11383 8558 123 8202 233 sdbws
ellipsoids-openmp 58 512 2183 11444 9261 2681 11380 8699 142 8298 259 sdbws
ellipsoids-openmp 67 512 2186 11465 9279 2704 11414 8710 117 8358 235 sdbws
ellipsoids-openmp 75 512 2190 11469 9279 2734 11430 8696 106 8373 217 sdbws
ellipsoids-openmp 89 512 2214 11480 9266 2753 11431 8678 115 8277 286 sdbws
ellipsoids-openmp 72 512 2189 11494 9305 2708 11430 8722 156 8347 219 sdbws
ellipsoids-openmp 168 512 2259 11500 9241 2834 11449 8615 119 8202 294 sdbws
ellipsoids-openmp 95 512 2225 11510 9285 2744 11441 8697 113 8357 227 sdbws
ellipsoids-openmp 147 512 2468 11512 9044 2952 11472 8520 109 8216 195 sdbws
ellipsoids-openmp 191 512 2265 11513 9248 2862 11466 8604 110 8294 200 sdbws
ellipsoids-openmp 96 512 2225 11519 9294 2761 11460 8699 140 8256 303 sdbws
ellipsoids-openmp 88 512 2214 11530 9316 2748 11471 8723 129 8354 240 sdbws
ellipsoids-openmp 102 512 2181 11532 9351 2682 11480 8798 140 8397 261 sdbws
ellipsoids-openmp 125 512 2447 11540 9093 2907 11474 8567 118 8233 216 sdbws
ellipsoids-openmp 93 512 2224 11543 9319 2766 11501 8735 128 8364 243 sdbws
ellipsoids-openmp 145 512 2468 11553 9085 2945 11511 8566 127 8213 226 sdbws
ellipsoids-openmp 119 512 2446 11557 9111 2895 11497 8602 118 8248 236 sdbws
ellipsoids-openmp 79 512 2211 11559 9348 2758 11524 8766 157 8377 232 sdbws
ellipsoids-openmp 189 512 2265 11564 9299 2834 11497 8663 116 8315 232 sdbws
ellipsoids-openmp 87 512 2213 11572 9359 2750 11520 8770 108 8400 262 sdbws
ellipsoids-openmp 68 512 2186 11573 9387 2700 11513 8813 127 8420 266 sdbws
ellipsoids-openmp 80 512 2212 11576 9364 2747 11530 8783 116 8450 217 sdbws
ellipsoids-openmp 92 512 2224 11583 9359 2755 11527 8772 101 8431 240 sdbws
ellipsoids-openmp 203 512 2269 11588 9319 2863 11538 8675 125 8351 199 sdbws
ellipsoids-openmp 183 512 2263 11601 9338 2837 11533 8696 144 8332 220 sdbws
ellipsoids-openmp 81 512 2212 11604 9392 2735 11549 8814 107 8457 250 sdbws
ellipsoids-openmp 82 512 2212 11613 9401 2760 11572 8812 124 8471 217 sdbws
ellipsoids-openmp 199 512 2267 11619 9352 2869 11580 8711 145 8308 258 sdbws
ellipsoids-openmp 83 512 2213 11628 9415 2740 11573 8833 121 8517 195 sdbws
ellipsoids-openmp 202 512 2268 11630 9362 2842 11559 8717 143 8316 258 sdbws
ellipsoids-openmp 73 512 2190 11634 9444 2708 11572 8864 124 8492 248 sdbws
ellipsoids-openmp 161 512 2257 11635 9378 2816 11574 8758 120 8435 203 sdbws
ellipsoids-openmp 63 512 2185 11640 9455 2699 11583 8884 137 8473 274 sdbws
ellipsoids-openmp 157 512 2256 11642 9386 2835 11605 8770 117 8431 222 sdbws
ellipsoids-openmp 204 512 2269 11655 9386 2871 11600 8729 105 8401 223 sdbws
ellipsoids-openmp 205 512 2269 11657 9388 2909 11600 8691 152 8309 230 sdbws
ellipsoids-openmp 181 512 2262 11657 9395 2851 11603 8752 110 8393 249 sdbws
ellipsoids-openmp 86 512 2213 11658 9445 2748 11589 8841 136 8471 234 sdbws
ellipsoids-openmp 188 512 2264 11662 9398 2853 11609 8756 113 8414 229 sdbws
ellipsoids-openmp 175 512 2261 11666 9405 2837 11608 8771 127 8427 217 sdbws
ellipsoids-openmp 194 512 2266 11673 9407 2867 11624 8757 121 8380 256 sdbws
ellipsoids-openmp 162 512 2258 11674 9416 2823 11622 8799 114 8451 234 sdbws
ellipsoids-openmp 76 512 2191 11676 9485 2723 11609 8886 115 8512 259 sdbws
ellipsoids-openmp 159 512 2257 11679 9422 2841 11645 8804 126 8435 243 sdbws
ellipsoids-openmp 174 512 2261 11682 9421 2830 11622 8792 111 8435 246 sdbws
ellipsoids-openmp 166 512 2259 11683 9424 2831 11623 8792 169 8382 241 sdbws
ellipsoids-openmp 61 512 2184 11684 9500 2712 11642 8930 127 8579 224 sdbws
ellipsoids-openmp 107 512 2442 11691 9249 2920 11653 8733 145 8338 250 sdbws
ellipsoids-openmp 97 512 2225 11692 9467 2762 11637 8875 117 8536 222 sdbws
ellipsoids-openmp 94 512 2224 11693 9469 2767 11649 8882 129 8480 273 sdbws
ellipsoids-openmp 186 512 2264 11694 9430 2840 11634 8794 108 8457 229 sdbws
ellipsoids-openmp 167 512 2259 11695 9436 2823 11630 8807 120 8418 269 sdbws
ellipsoids-openmp 193 512 2266 11701 9435 2843 11638 8795 147 8395 253 sdbws
ellipsoids-openmp 158 512 2257 11708 9451 2806 11644 8838 129 8401 308 sdbws
ellipsoids-openmp 192 512 2265 11709 9444 2861 11670 8809 128 8480 201 sdbws
ellipsoids-openmp 74 512 2190 11713 9523 2729 11668 8939 164 8534 241 sdbws
ellipsoids-openmp 195 512 2266 11719 9453 2854 11670 8816 129 8417 270 sdbws
ellipsoids-openmp 177 512 2262 11720 9458 2847 11673 8826 135 8436 255 sdbws
ellipsoids-openmp 170 512 2260 11722 9462 2840 11678 8838 116 8487 235 sdbws
ellipsoids-openmp 185 512 2264 11724 9460 2845 11672 8827 215 8386 226 sdbws
ellipsoids-openmp 156 512 2256 11733 9477 2850 11682 8832 145 8469 218 sdbws
ellipsoids-openmp 160 512 2257 11735 9478 2807 11660 8853 156 8478 219 sdbws
ellipsoids-openmp 140 512 2466 11738 9272 2908 11665 8757 119 8448 190 sdbws
ellipsoids-openmp 176 512 2261 11750 9489 2825 11686 8861 106 8559 196 sdbws
ellipsoids-openmp 14 512 2675 11755 9080 3155 11697 8542 117 8160 265 sdbws
ellipsoids-openmp 200 512 2268 11756 9488 2869 11709 8840 104 8433 303 sdbws
ellipsoids-openmp 77 512 2191 11764 9573 2760 11734 8974 118 8635 221 sdbws
ellipsoids-openmp 163 512 2258 11766 9508 2799 11680 8881 142 8475 264 sdbws
ellipsoids-openmp 60 512 2184 11767 9583 2688 11705 9017 151 8652 214 sdbws
ellipsoids-openmp 171 512 2260 11769 9509 2841 11720 8879 138 8530 211 sdbws
