task id resource request_start request_end request_duration start end time downloaded executed uploaded type
ellipsoids-openmp 43 2048 1961 4783 2822 2298 4673 2375 142 2042 191 sdbcs
ellipsoids-openmp 82 2048 1990 4954 2964 2585 4860 2275 99 1970 206 sdbcs
ellipsoids-openmp 31 2048 1958 4964 3006 2523 4859 2336 109 2064 163 sdbcs
ellipsoids-openmp 30 2048 1960 4970 3010 2555 4889 2334 129 2016 189 sdbcs
ellipsoids-openmp 41 2048 1960 4981 3021 2544 4898 2354 111 2050 193 sdbcs
ellipsoids-openmp 26 2048 1978 5094 3116 2571 5004 2433 134 2097 202 sdbcs
ellipsoids-openmp 35 2048 1958 5146 3188 2494 4995 2501 329 1976 196 sdbcs
ellipsoids-openmp 45 1536 1959 5604 3645 2335 5393 3058 128 2734 196 sdbcs
ellipsoids-openmp 42 1536 1956 5606 3650 2527 5425 2898 111 2577 210 sdbcs
ellipsoids-openmp 38 1536 1957 5608 3651 2541 5450 2909 116 2582 211 sdbcs
ellipsoids-openmp 33 1536 1962 5609 3647 2621 5544 2923 102 2633 188 sdbcs
ellipsoids-openmp 48 1536 1983 5610 3627 2364 5517 3153 111 2837 205 sdbcs
ellipsoids-openmp 71 1536 1989 5611 3622 2558 5468 2910 118 2606 186 sdbcs
ellipsoids-openmp 73 1536 1991 5612 3621 2605 5520 2915 109 2593 213 sdbcs
ellipsoids-openmp 40 1536 1957 5614 3657 2534 5517 2983 135 2655 193 sdbcs
ellipsoids-openmp 78 1536 1992 5624 3632 2649 5586 2937 109 2620 208 sdbcs
ellipsoids-openmp 28 1536 1961 5638 3677 2610 5605 2995 108 2703 184 sdbcs
ellipsoids-openmp 44 1536 1961 5640 3679 2508 5514 3006 111 2668 227 sdbcs
ellipsoids-openmp 84 1536 1990 5641 3651 2569 5529 2960 106 2624 230 sdbcs
ellipsoids-openmp 32 1536 1962 5644 3682 2553 5556 3003 114 2689 200 sdbcs
ellipsoids-openmp 79 1536 1994 5649 3655 2637 5598 2961 105 2649 207 sdbcs
ellipsoids-openmp 81 1536 1993 5655 3662 2590 5557 2967 112 2641 214 sdbcs
ellipsoids-openmp 34 1536 1959 5656 3697 2490 5521 3031 117 2705 209 sdbcs
ellipsoids-openmp 72 1536 1989 5660 3671 2594 5586 2992 129 2650 213 sdbcs
ellipsoids-openmp 75 1536 1992 5665 3673 2606 5592 2986 108 2722 156 sdbcs
ellipsoids-openmp 29 1536 1957 5672 3715 2511 5569 3058 109 2720 229 sdbcs
ellipsoids-openmp 70 1536 1988 5693 3705 2566 5591 3025 132 2675 218 sdbcs
ellipsoids-openmp 65 1536 1983 5710 3727 2592 5638 3046 105 2778 163 sdbcs
ellipsoids-openmp 27 1536 1959 5716 3757 2524 5616 3092 129 2748 215 sdbcs
ellipsoids-openmp 68 1536 1993 5731 3738 2660 5702 3042 124 2723 195 sdbcs
ellipsoids-openmp 53 1536 1982 5736 3754 2566 5647 3081 118 2736 227 sdbcs
